Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "California|CA", Dealer Name: "Doaba Motors" has no vehicles
State: "California|CA", Dealer Name: "Economy Auto Sales" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Whittier Used Trucks" has no vehicles
State: "California|CA", Dealer Name: "Fontana Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "Palms Auto Sales" has no vehicles
State: "California|CA", Dealer Name: "Dan DeWald Inc" has no vehicles
State: "California|CA", Dealer Name: "Riverside Truck & Equipment" has 3 vehicles
State: "California|CA", Dealer Name: "Interstate Truck Center" has 39 vehicles
State: "California|CA", Dealer Name: "Valley Trailer Sales" has 59 vehicles
State: "California|CA", Dealer Name: "CraneWorks - Southwest San Diego" has 7 vehicles
State: "California|CA", Dealer Name: "TCI Truck & Trailer Sales" has 2 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - FONTANA, CA" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Sylmar" has 49 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - ANAHEIM, CA" has no vehicles
State: "California|CA", Dealer Name: "Ford Lincoln Fairfield" has 120 vehicles
State: "California|CA", Dealer Name: "Santos Ford" has 15 vehicles
State: "California|CA", Dealer Name: "Serramonte Ford - Fleet" has 184 vehicles
State: "California|CA", Dealer Name: "Mission Valley Ford Truck" has 80 vehicles
State: "California|CA", Dealer Name: "MERCEDES-BENZ OF VALENCIA" has 66 vehicles
State: "California|CA", Dealer Name: "WhyBuyNewAutos.com" has no vehicles
State: "California|CA", Dealer Name: "Chrysler Dodge Jeep Ram Morgan Hill" has 185 vehicles
State: "California|CA", Dealer Name: "Auto Resources Merced" has 1 vehicles
State: "California|CA", Dealer Name: "Elias Motors Inc." has no vehicles
State: "California|CA", Dealer Name: "Dow Lewis Motors Inc" has 45 vehicles
State: "California|CA", Dealer Name: "Elk Grove Ford" has 330 vehicles
State: "California|CA", Dealer Name: "Elk Grove CDJR" has 212 vehicles
State: "California|CA", Dealer Name: "Vista Ford" has 44 vehicles
State: "California|CA", Dealer Name: "SAN DIEGO CHRYSLER DODGE JEEP RAM" has 45 vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in Pomona" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Los Angeles" has no vehicles
State: "California|CA", Dealer Name: "Van Nuys CDJR" has 250 vehicles
State: "California|CA", Dealer Name: "Mercedes Benz of Arcadia" has 73 vehicles
State: "California|CA", Dealer Name: "Mercedes-Benz Of Santa Rosa" has 58 vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in San Diego" has no vehicles
State: "California|CA", Dealer Name: "Hengehold Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "Reynolds Fleet Sales & Service" has 53 vehicles
State: "California|CA", Dealer Name: "Boom and Bucket" has no vehicles
State: "California|CA", Dealer Name: "Paccar Financial Used Truck Center - Fontana" has no vehicles
State: "California|CA", Dealer Name: "Tow Industries" has 4 vehicles
State: "California|CA", Dealer Name: "International Used Truck Center of West Sacramento" has no vehicles
State: "California|CA", Dealer Name: "Mercedes-Benz of Stockton" has 53 vehicles
State: "California|CA", Dealer Name: "Charter Sales Company" has no vehicles
State: "California|CA", Dealer Name: "ESCONDIDO AUTO SUPER CENTER" has no vehicles
State: "California|CA", Dealer Name: "GTS Trucks" has 29 vehicles
State: "California|CA", Dealer Name: "Chevrolet of Puente Hills" has 64 vehicles
State: "California|CA", Dealer Name: "Premier Chrysler Dodge Jeep RAM of Buena Park" has 78 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - VERNON, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - NATIONAL CITY, CA" has no vehicles
State: "California|CA", Dealer Name: "Engleman Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - HAYWARD, CA" has no vehicles
State: "California|CA", Dealer Name: "Haidlen Ford" has 75 vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Fontana" has 193 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - MONTEBELLO, CA" has no vehicles
State: "California|CA", Dealer Name: "CA Lease Returns" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - BAKERSFIELD, CA" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Fontana Used Trucks" has no vehicles
State: "California|CA", Dealer Name: "Valew Quality Truck Bodies" has 20 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SOUTH SAN FRANCISCO, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - STOCKTON, CA" has no vehicles
State: "California|CA", Dealer Name: "D & J Bros Auto Sales" has no vehicles
State: "California|CA", Dealer Name: "Atlantis Cargo Vans" has no vehicles
State: "California|CA", Dealer Name: "I-10 CHRYSLER DODGE JEEP RAM" has 16 vehicles
State: "California|CA", Dealer Name: "Velocity Truck & Rental Leasing" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - TEMECULA, CA" has no vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in Fontana" has no vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in Los Angeles" has no vehicles
State: "California|CA", Dealer Name: "Stewart Chrysler Dodge Jeep Ram" has 17 vehicles
State: "California|CA", Dealer Name: "Golden Gate Truck Center" has 11 vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in Sacramento" has no vehicles
State: "California|CA", Dealer Name: "Hanlees Chrysler Dodge Jeep Ram" has 32 vehicles
State: "California|CA", Dealer Name: "Truck Site" has no vehicles
State: "California|CA", Dealer Name: "Don's Auto Center" has no vehicles
State: "California|CA", Dealer Name: "Borjon Auto Center" has 96 vehicles
State: "California|CA", Dealer Name: "Mercedes-Benz of Los Angeles" has 72 vehicles
State: "California|CA", Dealer Name: "The Trailer Zone" has 328 vehicles
State: "California|CA", Dealer Name: "Complete Trailers California" has 64 vehicles


 State California|CA, has Total Vehicles : 18297


Total No of Dealers: "47" exists in the state : "Colorado|CO"

State: "Colorado|CO", Dealer Name: "McCandless Truck Center, LLC" has 15 vehicles
State: "Colorado|CO", Dealer Name: "MHC Kenworth - South Denver (Branch#119)" has 2 vehicles
State: "Colorado|CO", Dealer Name: "International Used Truck Center of Denver" has no vehicles
State: "Colorado|CO", Dealer Name: "Mountain Truck & Equipment Company" has no vehicles
State: "Colorado|CO", Dealer Name: "PENSKE USED TRUCKS - GREELEY, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Denver, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Ryder Used Trucks in Denver" has no vehicles
State: "Colorado|CO", Dealer Name: "Custom Truck One Source - Denver" has 1069 vehicles
State: "Colorado|CO", Dealer Name: "MHC Kenworth - Greeley" has 6 vehicles
State: "Colorado|CO", Dealer Name: "DTI TRUCKS" has 41 vehicles
State: "Colorado|CO", Dealer Name: "Perkins Motor Company" has 91 vehicles
State: "Colorado|CO", Dealer Name: "Vogel Sales Inc" has 14 vehicles
State: "Colorado|CO", Dealer Name: "DTI Value Trucks" has 16 vehicles
State: "Colorado|CO", Dealer Name: "United Equipment Funding" has 1 vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Aurora, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Utility Trailer Interstate" has 121 vehicles
State: "Colorado|CO", Dealer Name: "Phil Long Ford of Denver" has 322 vehicles
State: "Colorado|CO", Dealer Name: "Ed Bozarth Chevrolet" has 174 vehicles
State: "Colorado|CO", Dealer Name: "O'MEARA FORD CENTER INC" has 240 vehicles
State: "Colorado|CO", Dealer Name: "Larry H. Miller Chrysler Jeep Dodge Ram 104th" has 75 vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Grand Junction, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Denver, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "AUTONATION CHRYSLER DODGE JEEP RAM SOUTHWEST" has 166 vehicles
State: "Colorado|CO", Dealer Name: "4 Corners Trailer Sales" has 72 vehicles
State: "Colorado|CO", Dealer Name: "Phil Long Ford of Chapel Hills" has 375 vehicles
State: "Colorado|CO", Dealer Name: "MHC Kenworth - Denver" has 25 vehicles
State: "Colorado|CO", Dealer Name: "John Elway Chevrolet" has 83 vehicles
State: "Colorado|CO", Dealer Name: "Transwest GMC Trucks" has 106 vehicles
State: "Colorado|CO", Dealer Name: "PENSKE USED TRUCKS - BOULDER, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Sunset Auto" has no vehicles
State: "Colorado|CO", Dealer Name: "Rush Truck Centers - Greeley" has 6 vehicles
State: "Colorado|CO", Dealer Name: "Primrose Equipment" has 2 vehicles
State: "Colorado|CO", Dealer Name: "Phil Long Commercial Sales" has 12 vehicles
State: "Colorado|CO", Dealer Name: "Yoder Fleet and Commercial Sales" has 78 vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Denver, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Intermountain Trailer" has 14 vehicles
State: "Colorado|CO", Dealer Name: "CraneWorks - Denver" has 1 vehicles
State: "Colorado|CO", Dealer Name: "Stapleton Motors" has no vehicles
State: "Colorado|CO", Dealer Name: "PENSKE USED TRUCKS - FORT COLLINS, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Rush Truck Centers - Denver Medium Duty" has 255 vehicles
State: "Colorado|CO", Dealer Name: "Rush Truck Centers - Denver Heavy Duty" has 3 vehicles
State: "Colorado|CO", Dealer Name: "Silver Spur Trailers" has 26 vehicles
State: "Colorado|CO", Dealer Name: "PENSKE USED TRUCKS - LOVELAND, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Penske Used Trucks - Denver, CO" has no vehicles
State: "Colorado|CO", Dealer Name: "Complete Trailers" has 87 vehicles
State: "Colorado|CO", Dealer Name: "Yoder Chevrolet" has no vehicles
State: "Colorado|CO", Dealer Name: "PENSKE USED TRUCKS - COLORADO SPRINGS, CO" has no vehicles


 State Colorado|CO, has Total Vehicles : 3498


Total No of Dealers: "34" exists in the state : "Connecticut|CT"

State: "Connecticut|CT", Dealer Name: "Allegiance - North Haven" has no vehicles
State: "Connecticut|CT", Dealer Name: "PENSKE USED TRUCKS - EAST WINDSOR, CT" has no vehicles
State: "Connecticut|CT", Dealer Name: "Allegiance - Torrington" has no vehicles
State: "Connecticut|CT", Dealer Name: "PENSKE USED TRUCKS - WEST HAVEN, CT" has no vehicles
State: "Connecticut|CT", Dealer Name: "DANBURY CHRYSLER JEEP DODGE RAM" has 25 vehicles
State: "Connecticut|CT", Dealer Name: "Mike and Tony's Auto Sales Inc" has no vehicles
State: "Connecticut|CT", Dealer Name: "Greenlight Auto Sales" has no vehicles
State: "Connecticut|CT", Dealer Name: "LA Motors LLC" has no vehicles
State: "Connecticut|CT", Dealer Name: "EXECUTIVE DODGE AND JEEP OF WALLINGFORD" has 28 vehicles
State: "Connecticut|CT", Dealer Name: "Road Ready Used Cars" has no vehicles
State: "Connecticut|CT", Dealer Name: "Terryville Chevrolet" has 24 vehicles
State: "Connecticut|CT", Dealer Name: "Day Garage" has no vehicles
State: "Connecticut|CT", Dealer Name: "Robert's Chrysler Dodge" has 26 vehicles
State: "Connecticut|CT", Dealer Name: "Connecticut Trailers Inc." has 188 vehicles
State: "Connecticut|CT", Dealer Name: "Executive Chevrolet" has 21 vehicles
State: "Connecticut|CT", Dealer Name: "#1 Jukonski Truck Sales" has 3 vehicles
State: "Connecticut|CT", Dealer Name: "Allegiance - Hartford" has 54 vehicles
State: "Connecticut|CT", Dealer Name: "Allegiance - Northern Farifield County" has 11 vehicles
State: "Connecticut|CT", Dealer Name: "Loehmann-Blasius Chevrolet" has 149 vehicles
State: "Connecticut|CT", Dealer Name: "Papa's Chrysler Dodge Jeep Ram" has 108 vehicles
State: "Connecticut|CT", Dealer Name: "Elm City Trailer, LLC" has 76 vehicles
State: "Connecticut|CT", Dealer Name: "Hamden Chevrolet - Isuzu" has 92 vehicles
State: "Connecticut|CT", Dealer Name: "Hoffman Ford" has 44 vehicles
State: "Connecticut|CT", Dealer Name: "Litchfield Ford" has 74 vehicles
State: "Connecticut|CT", Dealer Name: "FALVEY'S MOTORS INC" has 7 vehicles
State: "Connecticut|CT", Dealer Name: "BRANHAVEN CHRYSLER JEEP DODGE" has 68 vehicles
State: "Connecticut|CT", Dealer Name: "B.H. Trailers and Plows - Plainfield" has 316 vehicles
State: "Connecticut|CT", Dealer Name: "PENSKE USED TRUCKS - PLAINVILLE, CT" has no vehicles
State: "Connecticut|CT", Dealer Name: "PENSKE USED TRUCKS - HARTFORD, CT" has no vehicles
State: "Connecticut|CT", Dealer Name: "PENSKE USED TRUCKS - EAST HARTFORD, CT" has no vehicles
State: "Connecticut|CT", Dealer Name: "Stafford Chrysler Dodge Jeep Ram" has 27 vehicles
State: "Connecticut|CT", Dealer Name: "Allegiance - Franklin" has 5 vehicles
State: "Connecticut|CT", Dealer Name: "#1 Advanced Truck" has 5 vehicles
State: "Connecticut|CT", Dealer Name: "Allegiance - Bridgeport" has no vehicles


 State Connecticut|CT, has Total Vehicles : 1351


Total No of Dealers: "10" exists in the state : "Delaware|DE"

State: "Delaware|DE", Dealer Name: "First State Chevy" has 39 vehicles
State: "Delaware|DE", Dealer Name: "PENSKE USED TRUCKS - NEWARK, DE" has no vehicles
State: "Delaware|DE", Dealer Name: "PENSKE USED TRUCKS - MILFORD, DE" has no vehicles
State: "Delaware|DE", Dealer Name: "NuCar Automotive" has 175 vehicles
State: "Delaware|DE", Dealer Name: "PENSKE USED TRUCKS - NEW CASTLE, DE" has no vehicles
State: "Delaware|DE", Dealer Name: "PENSKE USED TRUCKS - NEW CASTLE, DE" has no vehicles
State: "Delaware|DE", Dealer Name: "Bentley Truck Services" has 61 vehicles
State: "Delaware|DE", Dealer Name: "A Tri State Truck Sales" has no vehicles
State: "Delaware|DE", Dealer Name: "Mercedes of Wilmington" has 15 vehicles
State: "Delaware|DE", Dealer Name: "EZ Work Trucks" has no vehicles


 State Delaware|DE, has Total Vehicles : 290


Total No of Dealers: "1" exists in the state : "District of Columbia|DC"

State: "District of Columbia|DC", Dealer Name: "PENSKE USED TRUCKS - WASHINGTON, DC" has no vehicles


 State District of Columbia|DC, has Total Vehicles : 0


Total No of Dealers: "224" exists in the state : "Florida|FL"

State: "Florida|FL", Dealer Name: "Titus Trucks" has 4 vehicles
State: "Florida|FL", Dealer Name: "AT Trailer Center" has 173 vehicles
State: "Florida|FL", Dealer Name: "Town Cars Auto Sales" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - MIAMI, FL" has no vehicles
State: "Florida|FL", Dealer Name: "All American Trailer Connection" has 114 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - SAINT PETERSBURG, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Rechtien International Trucks" has 6 vehicles
State: "Florida|FL", Dealer Name: "TruckMax Tampa" has 35 vehicles
State: "Florida|FL", Dealer Name: "LKQ Heavy Truck Division" has no vehicles
State: "Florida|FL", Dealer Name: "Work Trucks & Equipment" has 6 vehicles
State: "Florida|FL", Dealer Name: "Maher Truck Center Inc" has 33 vehicles
State: "Florida|FL", Dealer Name: "S&N Auto Locators" has 1 vehicles
State: "Florida|FL", Dealer Name: "Truck Fleet Solutions" has no vehicles
State: "Florida|FL", Dealer Name: "Load Runner Trailers - Jacksonville" has 213 vehicles
State: "Florida|FL", Dealer Name: "First Place Auto Sales" has no vehicles
State: "Florida|FL", Dealer Name: "Load Runner Trailers - Orlando" has 240 vehicles
State: "Florida|FL", Dealer Name: "Load Runner Trailers - Fort Myers" has 166 vehicles
State: "Florida|FL", Dealer Name: "Exclusive Trucks & Cars LLC" has no vehicles
State: "Florida|FL", Dealer Name: "Stamm Manufacturing" has 8 vehicles
State: "Florida|FL", Dealer Name: "TruckMax Miami, TruckMax Isuzu Homestead & TruckMax Fort Pierce" has 22 vehicles
State: "Florida|FL", Dealer Name: "Kenworth of Jacksonville" has 4 vehicles
State: "Florida|FL", Dealer Name: "A&A Used Buses and Trucks, Inc" has 4 vehicles
State: "Florida|FL", Dealer Name: "Load Runner Trailers - Tampa" has 96 vehicles
State: "Florida|FL", Dealer Name: "Centec Equipment" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - OCALA, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Super Trucks" has no vehicles
State: "Florida|FL", Dealer Name: "Cavalier Vans & Trucks" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - LAKELAND, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Load Runner Trailers - Fort Lauderdale" has 162 vehicles
State: "Florida|FL", Dealer Name: "Nextran Truck Center Tampa" has 3 vehicles
State: "Florida|FL", Dealer Name: "Nextran Truck Center" has 7 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - MEDLEY, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Stingray Isuzu Bartow" has 19 vehicles
State: "Florida|FL", Dealer Name: "Trucks-E-Quip" has 1 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - DAYTONA BEACH, FL" has no vehicles
State: "Florida|FL", Dealer Name: "TruckMax Heavy Wrecker Sales" has 38 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - TAMPA, FL" has no vehicles
State: "Florida|FL", Dealer Name: "The Isuzu Store - Fort Pierce" has 15 vehicles
State: "Florida|FL", Dealer Name: "Buzzell Truck & Equipment" has no vehicles
State: "Florida|FL", Dealer Name: "North Florida Sales Co." has no vehicles
State: "Florida|FL", Dealer Name: "TLC Truck & Equipment" has 146 vehicles
State: "Florida|FL", Dealer Name: "Miami Trailer & Equipment" has 71 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - APOPKA, FL" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - JACKSONVILLE, FL" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - SARASOTA, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Leading Luxury" has no vehicles
State: "Florida|FL", Dealer Name: "Rechtien International Trucks" has 99 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - OCALA, FL" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - ORLANDO, FL" has no vehicles
State: "Florida|FL", Dealer Name: "J. E. Motors Inc." has no vehicles
State: "Florida|FL", Dealer Name: "Fields Motorcars" has 20 vehicles
